delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
2.000,3.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,27.000,0.000
69.000,6.000,6.000,1.000,1.000,2.000,3.000,2.000,0.000,0.000,29.000,0.000
618872.000,437436.000,294646.000,79288.000,189005.000,45158.000,28976.000,33475.000,0.000,0.000,74.000,0.000
474116.000,246664.000,83474.000,91828.000,68497.000,43540.000,18194.000,6102.000,0.000,0.000,404.000,0.000
333826.000,22151.000,10032.000,4696.000,6550.000,5527.000,1804.000,772.000,0.000,0.000,44.000,0.000
299753.000,96639.000,55366.000,28279.000,31713.000,24638.000,22151.000,2934.000,0.000,0.000,-273.000,0.000
2605946.000,272394.000,48419.000,178305.000,74285.000,57254.000,28939.000,10536.000,51.000,63.000,50.000,0.000
155806.000,132104.000,84189.000,44502.000,55614.000,52055.000,13839.000,8975.000,57.000,87.000,29.000,0.000
228776.000,118201.000,51653.000,20338.000,38712.000,50912.000,10715.000,1244.000,80.000,100.000,55.000,0.000
419373.000,730592.000,161713.000,41460.000,116018.000,28865.000,18621.000,7415.000,100.000,91.000,34.000,0.000
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
2.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,27.000,0.000
61.000,7.000,0.000,1.000,2.000,3.000,3.000,1.000,0.000,0.000,29.000,0.000
1077700.000,195785.000,50102.000,33682.000,127215.000,29149.000,6312.000,5872.000,0.000,0.000,-101.000,0.000
460690.000,77206.000,48305.000,95138.000,51790.000,52627.000,6485.000,2853.000,0.000,0.000,57.000,0.000
479170.000,493674.000,63662.000,62636.000,87833.000,36802.000,68416.000,20754.000,0.000,0.000,-9.000,0.000
837915.000,250447.000,31872.000,18482.000,26607.000,18230.000,2769.000,1847.000,0.000,0.000,154.000,0.000
602690.000,264345.000,35311.000,21004.000,29403.000,62142.000,9980.000,4853.000,30.000,30.000,91.000,0.000
395052.000,524956.000,35292.000,96973.000,42911.000,54572.000,11707.000,6376.000,43.000,23.000,106.000,0.000
166061.000,119844.000,65817.000,48356.000,35187.000,33898.000,18989.000,4167.000,40.000,20.000,9.000,0.000
372312.000,110488.000,20771.000,26972.000,34232.000,7295.000,6342.000,606.000,47.000,29.000,68.000,0.000
147988.000,65329.000,38304.000,20758.000,16163.000,8718.000,8485.000,576.000,43.000,37.000,-324.000,0.000
2202182.000,754904.000,164804.000,20725.000,84959.000,73456.000,29889.000,4429.000,26.000,54.000,18.000,0.000
342608.000,69106.000,61480.000,88224.000,106655.000,97523.000,17850.000,7754.000,24.000,54.000,116.000,0.000
329416.000,49663.000,11312.000,13293.000,18014.000,13611.000,10906.000,1353.000,40.000,53.000,12.000,0.000
302701.000,143285.000,40353.000,69892.000,134343.000,62594.000,9614.000,8606.000,60.000,54.000,57.000,0.000
436288.000,48565.000,2275.000,17736.000,39391.000,18995.000,4729.000,1135.000,80.000,44.000,93.000,0.000
753773.000,272502.000,17701.000,66784.000,135225.000,118206.000,17973.000,4199.000,100.000,43.000,141.000,0.000
87588.000,39343.000,1858.000,8747.000,7508.000,16791.000,4342.000,1557.000,96.000,24.000,80.000,0.000
357920.000,293598.000,40452.000,13845.000,39228.000,44105.000,12419.000,5412.000,100.000,16.000,96.000,0.000
2487211.000,595656.000,6730.000,69909.000,130189.000,130741.000,22321.000,5171.000,96.000,7.000,-81.000,0.000
77584.000,25944.000,1638.000,5549.000,4859.000,2571.000,2536.000,1003.000,91.000,1.000,105.000,0.000
1807964.000,100161.000,12383.000,13954.000,27246.000,15384.000,6872.000,2664.000,67.000,1.000,163.000,0.000
851794.000,227918.000,30832.000,116126.000,118150.000,58853.000,15395.000,6879.000,53.000,1.000,38.000,0.000
1171491.000,625345.000,203834.000,36037.000,108174.000,94610.000,34756.000,10789.000,56.000,13.000,9.000,0.000
196308.000,170647.000,55273.000,68072.000,97725.000,41865.000,19388.000,2200.000,47.000,29.000,0.000,0.000
129673.000,201620.000,2348.000,13034.000,22660.000,12497.000,4552.000,860.000,57.000,40.000,57.000,0.000
1022721.000,285413.000,54743.000,47086.000,86541.000,57977.000,39762.000,4738.000,47.000,27.000,-420.000,0.000
434265.000,279110.000,37626.000,21236.000,18205.000,18155.000,5173.000,4339.000,47.000,23.000,-76.000,0.000
853849.000,440323.000,156226.000,246445.000,106285.000,100953.000,7776.000,8569.000,35.000,17.000,120.000,0.000
698080.000,74083.000,57960.000,39553.000,71238.000,47717.000,8791.000,7438.000,34.000,24.000,60.000,0.000
491235.000,60307.000,239967.000,45524.000,26629.000,64595.000,35709.000,6209.000,56.000,51.000,-109.000,0.000
193359.000,92852.000,147525.000,30876.000,39152.000,54731.000,7769.000,17047.000,57.000,78.000,-55.000,0.000
665479.000,59207.000,15343.000,16836.000,27820.000,5788.000,5507.000,1248.000,78.000,96.000,75.000,0.000
618283.000,6231.000,654.000,2865.000,1406.000,3404.000,2226.000,1167.000,67.000,87.000,38.000,0.000
1589229.000,740050.000,194520.000,102192.000,42734.000,231340.000,26082.000,18646.000,70.000,80.000,-172.000,0.000
1342576.000,146205.000,36587.000,240909.000,56717.000,43017.000,2734.000,3411.000,75.000,56.000,309.000,0.000
406179.000,61363.000,4204.000,10708.000,12419.000,14557.000,6323.000,1991.000,64.000,60.000,51.000,0.000
87871.000,473320.000,42456.000,58238.000,139838.000,57610.000,26852.000,8828.000,81.000,50.000,86.000,0.000
1090457.000,130821.000,20439.000,14507.000,13178.000,10055.000,4069.000,1613.000,63.000,40.000,41.000,0.000
689165.000,775435.000,75116.000,150195.000,172671.000,80581.000,8229.000,6235.000,43.000,37.000,129.000,0.000
640580.000,70231.000,34796.000,3753.000,11585.000,11690.000,6853.000,545.000,38.000,16.000,-4.000,0.000
1889603.000,510541.000,146759.000,99081.000,78281.000,115233.000,8681.000,14079.000,27.000,27.000,17.000,0.000
1386954.000,18389.000,86965.000,26653.000,23444.000,4882.000,3195.000,421.000,35.000,40.000,-343.000,0.000
2673240.000,222984.000,8189.000,12389.000,37130.000,33646.000,19109.000,3223.000,27.000,66.000,32.000,0.000
1420815.000,121529.000,139323.000,114977.000,107125.000,116168.000,11177.000,2549.000,38.000,53.000,113.000,0.000
289762.000,296524.000,142735.000,170276.000,85376.000,64621.000,24641.000,3583.000,54.000,60.000,54.000,0.000
319831.000,86037.000,5150.000,23651.000,11040.000,13911.000,6388.000,3207.000,48.000,64.000,55.000,0.000
908413.000,485754.000,298870.000,103406.000,121450.000,57274.000,5469.000,8758.000,66.000,40.000,106.000,0.000
1158393.000,492320.000,20456.000,234954.000,97324.000,208580.000,15804.000,6633.000,53.000,64.000,196.000,0.000
1521874.000,41707.000,7853.000,15930.000,12207.000,8508.000,5683.000,1663.000,51.000,54.000,99.000,0.000
1685752.000,350391.000,66054.000,94603.000,115074.000,46858.000,20743.000,8004.000,54.000,47.000,116.000,0.000
624757.000,69546.000,25128.000,69616.000,167001.000,66934.000,24583.000,4752.000,51.000,48.000,53.000,0.000
131441.000,102815.000,41723.000,2798.000,18732.000,16265.000,3425.000,658.000,80.000,40.000,52.000,0.000
393607.000,144985.000,168479.000,91415.000,181880.000,79819.000,13874.000,4258.000,66.000,38.000,97.000,0.000
318655.000,56079.000,19050.000,18430.000,10873.000,6202.000,5803.000,1093.000,70.000,44.000,-507.000,0.000
648939.000,42462.000,6555.000,9540.000,6093.000,8048.000,1351.000,280.000,67.000,53.000,6.000,0.000
1463201.000,258859.000,311618.000,432450.000,113514.000,70916.000,58039.000,28690.000,51.000,53.000,141.000,0.000
152870.000,43772.000,4365.000,10791.000,9108.000,6593.000,7840.000,2267.000,43.000,74.000,76.000,0.000
123948.000,110031.000,2939.000,20215.000,11286.000,9423.000,8791.000,3967.000,35.000,61.000,-366.000,0.000
577512.000,47480.000,24252.000,3660.000,38090.000,11146.000,5708.000,3471.000,35.000,48.000,-18.000,0.000
140993.000,226139.000,14871.000,43986.000,57402.000,12780.000,6364.000,978.000,35.000,48.000,112.000,0.000
442432.000,377947.000,214571.000,45976.000,98358.000,109112.000,31135.000,14304.000,27.000,23.000,-108.000,0.000
1085047.000,101985.000,133533.000,123136.000,58986.000,131405.000,41427.000,5486.000,35.000,29.000,-147.000,0.000
556093.000,134997.000,62482.000,35168.000,44629.000,30042.000,14297.000,12500.000,63.000,50.000,-1.000,0.000
930657.000,111496.000,1025.000,26023.000,6115.000,27843.000,4889.000,3694.000,61.000,54.000,107.000,0.000
1292975.000,177745.000,59928.000,56304.000,40647.000,67649.000,8849.000,7043.000,83.000,54.000,-7.000,0.000
977738.000,360241.000,23924.000,80312.000,132242.000,57035.000,13043.000,4293.000,88.000,54.000,84.000,0.000
243277.000,64619.000,29854.000,14237.000,31438.000,6250.000,3680.000,620.000,69.000,35.000,9.000,0.000
1060162.000,137259.000,123099.000,106996.000,31701.000,101753.000,12021.000,3154.000,57.000,34.000,49.000,0.000
354775.000,95245.000,2865.000,16840.000,27783.000,17688.000,3592.000,703.000,63.000,50.000,125.000,0.000
388995.000,171924.000,147658.000,75274.000,54385.000,41232.000,17160.000,3130.000,54.000,37.000,19.000,0.000
956421.000,497699.000,265371.000,25570.000,112566.000,138171.000,21458.000,4852.000,53.000,54.000,267.000,0.000
68772.000,46173.000,7734.000,10015.000,6856.000,8458.000,4948.000,3037.000,69.000,54.000,-5.000,0.000
629336.000,99485.000,76635.000,24036.000,24268.000,17397.000,2781.000,1168.000,60.000,41.000,115.000,0.000
118929.000,163038.000,171156.000,104571.000,53379.000,89371.000,17316.000,8423.000,51.000,60.000,-433.000,0.000
2246657.000,229587.000,77609.000,114414.000,102530.000,67928.000,15746.000,24782.000,61.000,63.000,88.000,0.000
917573.000,188031.000,232497.000,80259.000,60876.000,80620.000,8141.000,3187.000,61.000,64.000,97.000,0.000
304833.000,276532.000,84048.000,68985.000,65326.000,73062.000,8658.000,8770.000,63.000,80.000,55.000,0.000
616829.000,194777.000,28677.000,107131.000,139293.000,50977.000,14214.000,6480.000,70.000,70.000,104.000,0.000
1093689.000,275527.000,34615.000,106303.000,56519.000,113031.000,7348.000,4869.000,67.000,61.000,18.000,0.000
845057.000,174395.000,17776.000,70665.000,26401.000,23615.000,6304.000,677.000,75.000,57.000,139.000,0.000
128255.000,114791.000,5722.000,9559.000,10617.000,11799.000,1744.000,1698.000,64.000,47.000,89.000,0.000
765795.000,177345.000,65644.000,44814.000,164255.000,68394.000,10850.000,4088.000,56.000,30.000,24.000,0.000
539819.000,109326.000,16846.000,17536.000,27508.000,16443.000,8132.000,999.000,64.000,26.000,32.000,0.000
565612.000,181180.000,48174.000,13350.000,23138.000,25760.000,8131.000,3354.000,53.000,23.000,29.000,0.000
580079.000,278578.000,189595.000,38600.000,128783.000,82505.000,12744.000,5161.000,56.000,17.000,106.000,0.000
235449.000,31619.000,8398.000,22139.000,15476.000,6146.000,5097.000,1405.000,64.000,37.000,90.000,0.000
323073.000,26290.000,9072.000,10729.000,6216.000,5784.000,761.000,541.000,51.000,47.000,-20.000,0.000
147447.000,70292.000,7493.000,18512.000,17133.000,14090.000,2877.000,868.000,51.000,54.000,6.000,0.000
1268501.000,696912.000,121360.000,51444.000,134881.000,99624.000,18988.000,4447.000,56.000,53.000,164.000,0.000
500478.000,86994.000,18532.000,112269.000,14326.000,36126.000,23767.000,3756.000,51.000,41.000,-393.000,0.000
313776.000,84729.000,5678.000,8812.000,20997.000,6975.000,4124.000,1485.000,60.000,48.000,6.000,0.000
872751.000,258285.000,224318.000,65942.000,127581.000,171147.000,12527.000,5313.000,50.000,30.000,187.000,0.000
615118.000,629928.000,117602.000,112573.000,266539.000,57651.000,21195.000,4583.000,60.000,40.000,116.000,0.000
776947.000,351629.000,131030.000,86121.000,147170.000,49660.000,20741.000,5334.000,53.000,44.000,-187.000,0.000
743153.000,327569.000,76305.000,41645.000,70796.000,154302.000,21087.000,7155.000,43.000,35.000,49.000,0.000
432008.000,22552.000,21093.000,97231.000,24453.000,23103.000,3620.000,1185.000,67.000,40.000,72.000,0.000
1248970.000,182751.000,16261.000,293409.000,25799.000,29867.000,2614.000,1340.000,57.000,53.000,90.000,0.000
322046.000,30354.000,35940.000,13737.000,34238.000,37047.000,3744.000,2042.000,56.000,74.000,38.000,0.000
768936.000,76822.000,71012.000,41832.000,31850.000,29607.000,3620.000,2180.000,81.000,77.000,16.000,0.000
1824618.000,53607.000,20658.000,16230.000,21922.000,13904.000,3776.000,1562.000,69.000,93.000,-68.000,0.000
374998.000,112623.000,88478.000,15617.000,32064.000,7416.000,4564.000,940.000,67.000,77.000,75.000,0.000
2049043.000,251963.000,90293.000,89432.000,27667.000,92675.000,29636.000,3524.000,60.000,67.000,-34.000,0.000
373043.000,77844.000,157465.000,56599.000,173374.000,193458.000,14654.000,4428.000,48.000,67.000,81.000,0.000
1650315.000,257536.000,98809.000,33570.000,41975.000,55537.000,14496.000,4320.000,64.000,63.000,-8.000,0.000
2214805.000,737147.000,165801.000,91832.000,145081.000,39807.000,13119.000,6055.000,61.000,61.000,130.000,0.000
562938.000,173154.000,30233.000,20960.000,16378.000,26543.000,5748.000,908.000,61.000,51.000,-565.000,0.000
227249.000,72297.000,16382.000,6284.000,9270.000,7712.000,1422.000,532.000,51.000,43.000,37.000,0.000
361375.000,335146.000,123935.000,105709.000,76055.000,61103.000,20771.000,2825.000,24.000,35.000,32.000,0.000
365609.000,342732.000,250278.000,36666.000,87137.000,56929.000,20534.000,6089.000,20.000,38.000,324.000,0.000
277748.000,58166.000,34629.000,16467.000,26594.000,4939.000,6513.000,1063.000,30.000,47.000,172.000,0.000
607609.000,122567.000,152844.000,71967.000,40243.000,85497.000,26311.000,5495.000,17.000,57.000,-42.000,0.000
278791.000,327746.000,271185.000,130914.000,126821.000,187467.000,12377.000,1579.000,30.000,70.000,154.000,0.000
581811.000,134675.000,11527.000,41466.000,37077.000,35790.000,16516.000,6516.000,43.000,75.000,10.000,0.000
634961.000,114556.000,125490.000,47590.000,54761.000,56714.000,17608.000,7976.000,54.000,64.000,40.000,0.000
923499.000,283154.000,123548.000,73325.000,30646.000,111171.000,36376.000,4008.000,75.000,67.000,64.000,0.000
666284.000,291705.000,130086.000,23950.000,57229.000,74428.000,14800.000,7968.000,74.000,61.000,103.000,0.000
134844.000,433265.000,64367.000,60399.000,347743.000,84934.000,17427.000,6869.000,67.000,54.000,-269.000,0.000
79300.000,26505.000,8881.000,6110.000,15847.000,9440.000,3650.000,987.000,64.000,48.000,99.000,0.000
929282.000,372467.000,21283.000,176603.000,187371.000,92158.000,17863.000,8787.000,66.000,37.000,-36.000,0.000
878667.000,141885.000,19442.000,11314.000,9853.000,21102.000,4027.000,915.000,61.000,30.000,-265.000,0.000
1935126.000,89809.000,141732.000,130410.000,139939.000,110708.000,24486.000,10056.000,57.000,23.000,215.000,0.000
194167.000,85302.000,6720.000,18201.000,20409.000,43921.000,6470.000,2937.000,66.000,44.000,-394.000,0.000
1287055.000,30929.000,11013.000,32397.000,23551.000,6743.000,5597.000,583.000,75.000,38.000,-165.000,0.000
770766.000,736945.000,228216.000,135422.000,114586.000,112983.000,11216.000,4656.000,66.000,47.000,-129.000,0.000
2987792.000,238602.000,19260.000,33509.000,197481.000,152165.000,35702.000,7370.000,63.000,54.000,74.000,0.000
1337133.000,279979.000,95815.000,84233.000,158489.000,131275.000,53849.000,6020.000,69.000,27.000,-210.000,0.000
923504.000,412753.000,112856.000,152808.000,87248.000,39168.000,18575.000,4192.000,66.000,35.000,-297.000,0.000
820110.000,66242.000,77957.000,37316.000,31905.000,24623.000,4601.000,1784.000,61.000,30.000,162.000,0.000
206473.000,106905.000,27062.000,10960.000,33911.000,17767.000,8202.000,4242.000,66.000,41.000,-101.000,0.000
612418.000,905243.000,44415.000,174677.000,47867.000,108409.000,35928.000,6840.000,47.000,54.000,-278.000,0.000
528212.000,88042.000,25111.000,17398.000,25536.000,23520.000,11304.000,4543.000,30.000,50.000,16.000,0.000
1074225.000,95639.000,23916.000,46953.000,8147.000,15295.000,4046.000,1229.000,47.000,43.000,99.000,0.000
220299.000,113074.000,47619.000,44430.000,24589.000,35886.000,2119.000,1338.000,40.000,37.000,118.000,0.000
360742.000,13925.000,9002.000,23966.000,25474.000,7165.000,5153.000,982.000,44.000,47.000,3.000,0.000
185872.000,169418.000,26313.000,14544.000,51602.000,13610.000,6131.000,1708.000,51.000,63.000,133.000,0.000
1655853.000,68758.000,68219.000,45524.000,48173.000,41579.000,10700.000,6208.000,38.000,56.000,23.000,0.000
1949350.000,251942.000,234761.000,72129.000,102199.000,223746.000,11068.000,3214.000,50.000,57.000,59.000,0.000
921425.000,923066.000,118152.000,53849.000,112851.000,44476.000,34116.000,4932.000,61.000,57.000,-429.000,0.000
928707.000,101655.000,34120.000,21212.000,19069.000,34694.000,2220.000,2734.000,43.000,38.000,66.000,0.000
664182.000,382675.000,51545.000,177555.000,64624.000,87106.000,4983.000,3623.000,57.000,48.000,33.000,0.000
1914153.000,615951.000,148917.000,147442.000,93861.000,59472.000,8983.000,12108.000,51.000,40.000,145.000,0.000
478844.000,288120.000,128075.000,60820.000,93667.000,25258.000,28611.000,3657.000,27.000,37.000,117.000,0.000
703946.000,84595.000,18240.000,28220.000,12787.000,15558.000,1701.000,847.000,34.000,51.000,48.000,0.000
101821.000,25141.000,9752.000,26657.000,11084.000,20767.000,2279.000,733.000,24.000,53.000,90.000,0.000
1287230.000,109346.000,45874.000,44160.000,18438.000,33948.000,10530.000,2894.000,37.000,60.000,57.000,0.000
1158147.000,342713.000,96824.000,67475.000,89823.000,80708.000,14256.000,9203.000,50.000,63.000,27.000,0.000
1009609.000,521837.000,167352.000,61926.000,145379.000,117629.000,15654.000,4383.000,63.000,57.000,-9.000,0.000
1205638.000,219450.000,125223.000,79231.000,77743.000,25307.000,9944.000,6200.000,66.000,54.000,-18.000,0.000
530505.000,152693.000,20091.000,24368.000,23824.000,9025.000,2821.000,2011.000,44.000,54.000,236.000,0.000
281571.000,34462.000,11197.000,10762.000,17040.000,11786.000,3644.000,2811.000,26.000,43.000,23.000,0.000
1414959.000,190111.000,16623.000,100852.000,132063.000,40906.000,23959.000,8800.000,30.000,43.000,43.000,0.000
1193757.000,126801.000,131895.000,35479.000,123720.000,130370.000,25347.000,3796.000,27.000,44.000,139.000,0.000
651617.000,28497.000,17290.000,26965.000,17308.000,19125.000,4510.000,1040.000,53.000,41.000,263.000,0.000
128801.000,17992.000,8438.000,2990.000,4784.000,1439.000,660.000,360.000,78.000,53.000,-451.000,0.000
1267921.000,153245.000,41694.000,46772.000,22685.000,18447.000,5569.000,4437.000,57.000,57.000,88.000,0.000
