delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
608.000,664.000,723.000,761.000,705.000,451.000,94.000,29.000,0.000,0.000,32.000,0.000
153877.000,168958.000,111759.000,36463.000,51502.000,73462.000,5394.000,4849.000,0.000,0.000,-747.000,0.000
419262.000,62188.000,46402.000,33216.000,69899.000,18806.000,7727.000,8063.000,0.000,0.000,109.000,0.000
360979.000,97645.000,17122.000,21529.000,35553.000,8883.000,8822.000,7892.000,0.000,0.000,-1762.000,0.000
1609550.000,104194.000,15651.000,11030.000,10160.000,6796.000,1965.000,748.000,0.000,0.000,-409.000,0.000
286329.000,29708.000,4107.000,12537.000,827.000,2275.000,1179.000,995.000,0.000,0.000,-982.000,0.000
2366475.000,43966.000,25059.000,10888.000,10995.000,13302.000,6593.000,2080.000,0.000,0.000,1028.000,0.000
1126946.000,87266.000,8817.000,16121.000,11904.000,5547.000,2530.000,1090.000,0.000,0.000,-236.000,0.000
1445643.000,716494.000,66419.000,95831.000,112753.000,50154.000,27043.000,7088.000,0.000,0.000,258.000,0.000
1998093.000,187992.000,10246.000,57052.000,63455.000,53309.000,20255.000,6961.000,0.000,0.000,343.000,0.000
497322.000,29330.000,5450.000,7725.000,8604.000,3847.000,549.000,201.000,0.000,0.000,-13.000,0.000
224909.000,40130.000,12216.000,10887.000,23863.000,9367.000,574.000,634.000,51.000,41.000,43.000,0.000
165459.000,259994.000,22636.000,74135.000,10256.000,26235.000,19808.000,3031.000,75.000,47.000,29.000,0.000
908786.000,22904.000,2072.000,1455.000,10446.000,4036.000,2573.000,425.000,80.000,48.000,1595.000,0.000
862119.000,41985.000,17458.000,4486.000,4552.000,2145.000,837.000,596.000,80.000,48.000,-509.000,0.000
1416352.000,85227.000,44623.000,77040.000,23648.000,23740.000,17798.000,6643.000,80.000,48.000,21.000,0.000
830253.000,52283.000,16360.000,16817.000,15902.000,15182.000,1320.000,642.000,80.000,48.000,256.000,0.000
53894.000,14242.000,4685.000,1137.000,971.000,1298.000,136.000,68.000,80.000,48.000,67.000,0.000
1343254.000,159183.000,53652.000,86389.000,8335.000,11641.000,14239.000,3058.000,83.000,53.000,118.000,0.000
1401889.000,77750.000,50011.000,40187.000,25179.000,8050.000,15823.000,2170.000,54.000,74.000,160.000,0.000
