delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
62.000,7.000,1.000,0.000,2.000,2.000,1.000,1.000,0.000,0.000,29.000,0.000
1174.000,954.000,395.000,390.000,152.000,79.000,39.000,34.000,0.000,0.000,25.000,0.000
1221831.000,133218.000,57694.000,29385.000,30515.000,24517.000,11618.000,5861.000,0.000,0.000,-200.000,0.000
460709.000,101767.000,3964.000,7291.000,7642.000,9989.000,1114.000,2307.000,0.000,0.000,41.000,0.000
1315437.000,229162.000,27047.000,11862.000,47538.000,81560.000,23522.000,7990.000,0.000,0.000,116.000,0.000
216527.000,45554.000,4533.000,30687.000,50085.000,41377.000,13839.000,8363.000,0.000,0.000,44.000,0.000
1095974.000,325853.000,48652.000,31410.000,65704.000,29914.000,15762.000,6701.000,0.000,0.000,117.000,0.000
123197.000,20921.000,33140.000,25693.000,22645.000,17090.000,23870.000,4165.000,30.000,47.000,104.000,0.000
1275118.000,610637.000,136062.000,59891.000,107941.000,94214.000,19797.000,32277.000,35.000,69.000,-126.000,0.000
1185042.000,88089.000,4233.000,12087.000,9066.000,6345.000,5279.000,2242.000,30.000,74.000,81.000,0.000
922900.000,328489.000,6445.000,26584.000,71240.000,50078.000,9200.000,10222.000,21.000,69.000,104.000,0.000
2237265.000,345500.000,28478.000,40563.000,60611.000,54969.000,19856.000,7871.000,27.000,50.000,23.000,0.000
72353.000,165095.000,78355.000,48185.000,22750.000,31642.000,14937.000,9076.000,23.000,23.000,66.000,0.000
1013523.000,123704.000,55305.000,15586.000,26790.000,6312.000,2924.000,8212.000,23.000,37.000,85.000,0.000
506422.000,154685.000,20251.000,39934.000,22789.000,43619.000,13392.000,10137.000,16.000,51.000,100.000,0.000
1501580.000,378680.000,146247.000,33473.000,91572.000,68939.000,14055.000,3258.000,20.000,67.000,148.000,0.000
203654.000,303138.000,131070.000,111739.000,35328.000,95779.000,16344.000,5869.000,20.000,78.000,146.000,0.000
1228113.000,205563.000,28839.000,32846.000,68320.000,35626.000,18082.000,8041.000,23.000,77.000,-26.000,0.000
1276453.000,102789.000,60606.000,78262.000,66355.000,33884.000,14169.000,11943.000,37.000,64.000,-212.000,0.000
34019.000,13138.000,897.000,3855.000,1402.000,871.000,831.000,703.000,35.000,80.000,-4.000,0.000
1874203.000,285092.000,55828.000,33277.000,46403.000,32407.000,15483.000,14707.000,23.000,80.000,104.000,0.000
964268.000,244554.000,37262.000,35978.000,37681.000,13257.000,11812.000,10548.000,16.000,66.000,26.000,0.000
513491.000,168766.000,16123.000,14123.000,15175.000,12498.000,4344.000,840.000,4.000,67.000,44.000,0.000
876518.000,79361.000,10744.000,10810.000,17088.000,4365.000,11763.000,2764.000,1.000,48.000,163.000,0.000
