delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
567737.000,214753.000,201018.000,216522.000,214102.000,77219.000,8131.000,11645.000,0.000,0.000,27.000,0.000
1308055.000,102374.000,68557.000,178714.000,11790.000,21355.000,4668.000,1350.000,0.000,0.000,150.000,0.000
910190.000,26451.000,15100.000,22956.000,12721.000,9787.000,8260.000,6029.000,0.000,0.000,-153.000,0.000
2265102.000,94095.000,50152.000,27944.000,75675.000,27789.000,18359.000,15802.000,0.000,0.000,-126.000,0.000
289276.000,7726.000,6096.000,9651.000,1178.000,1630.000,1394.000,434.000,0.000,0.000,235.000,0.000
247154.000,199760.000,52311.000,12765.000,34888.000,18093.000,12626.000,4325.000,0.000,0.000,108.000,0.000
1932794.000,77839.000,25042.000,20617.000,13283.000,7755.000,6632.000,2409.000,30.000,30.000,306.000,0.000
998021.000,55956.000,56002.000,28149.000,33670.000,10217.000,3548.000,2732.000,23.000,29.000,87.000,0.000
43092.000,71521.000,15031.000,9175.000,6630.000,5552.000,1659.000,1414.000,17.000,37.000,53.000,0.000
354349.000,60136.000,9708.000,58986.000,20182.000,12010.000,721.000,552.000,8.000,29.000,65.000,0.000
485268.000,339111.000,18780.000,74298.000,34860.000,24234.000,12791.000,4033.000,16.000,43.000,50.000,0.000
604054.000,178454.000,7725.000,176191.000,39526.000,18998.000,2674.000,4795.000,11.000,35.000,-363.000,0.000
446797.000,64561.000,10896.000,10206.000,10630.000,9013.000,3509.000,1309.000,4.000,34.000,42.000,0.000
409755.000,225531.000,34701.000,48610.000,18021.000,25074.000,7654.000,1835.000,20.000,34.000,114.000,0.000
649600.000,57631.000,45783.000,31672.000,13049.000,10413.000,2578.000,450.000,17.000,21.000,458.000,0.000
405723.000,22973.000,4037.000,3119.000,1974.000,2590.000,801.000,615.000,26.000,40.000,76.000,0.000
1041895.000,149383.000,13113.000,83146.000,39846.000,19669.000,16572.000,3339.000,38.000,26.000,-2.000,0.000
651808.000,102151.000,64073.000,55450.000,15545.000,20734.000,12041.000,4244.000,34.000,34.000,-84.000,0.000
3093462.000,504683.000,41993.000,14275.000,16910.000,35973.000,16766.000,1120.000,37.000,47.000,-238.000,0.000
1149053.000,477651.000,144522.000,252346.000,25405.000,44393.000,13871.000,17163.000,34.000,17.000,69.000,0.000
540467.000,93674.000,32490.000,15903.000,19773.000,8962.000,6066.000,2747.000,17.000,30.000,105.000,0.000
1292563.000,308090.000,53538.000,7487.000,8219.000,9222.000,2333.000,749.000,11.000,29.000,406.000,0.000
223151.000,18311.000,3883.000,7179.000,1271.000,2243.000,864.000,364.000,1.000,11.000,153.000,0.000
248593.000,204033.000,1731.000,7225.000,9484.000,2867.000,1556.000,930.000,1.000,30.000,75.000,0.000
708271.000,313277.000,3559.000,5768.000,17150.000,9179.000,975.000,370.000,1.000,8.000,785.000,0.000
428915.000,50050.000,21739.000,6278.000,5529.000,4433.000,3233.000,906.000,1.000,1.000,146.000,0.000
346129.000,17982.000,1202.000,11503.000,6739.000,2441.000,1243.000,945.000,16.000,8.000,65.000,0.000
2616269.000,173028.000,122214.000,85701.000,52326.000,31424.000,4249.000,4142.000,23.000,13.000,32.000,0.000
1891183.000,704492.000,67428.000,140116.000,22744.000,29765.000,4250.000,1301.000,50.000,41.000,81.000,0.000
1771256.000,519068.000,62494.000,61050.000,83144.000,46286.000,28546.000,9730.000,53.000,60.000,145.000,0.000
2455027.000,171269.000,88788.000,40417.000,31050.000,14246.000,18638.000,1476.000,56.000,53.000,1014.000,0.000
2953423.000,181747.000,30060.000,26444.000,22273.000,11065.000,6074.000,2596.000,56.000,53.000,278.000,0.000
234024.000,115553.000,27277.000,8115.000,2745.000,4621.000,1761.000,597.000,56.000,53.000,57.000,0.000
995077.000,336476.000,29846.000,40023.000,25899.000,31788.000,7598.000,3910.000,41.000,50.000,68.000,0.000
430341.000,170021.000,156580.000,60759.000,89468.000,13008.000,12325.000,1772.000,41.000,37.000,-161.000,0.000
