delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
38.000,7.000,0.000,0.000,1.000,1.000,2.000,0.000,0.000,0.000,28.000,0.000
246.000,155.000,56.000,17.000,6.000,19.000,16.000,4.000,0.000,0.000,28.000,0.000
1488290.000,173762.000,233430.000,62300.000,75580.000,28305.000,62170.000,28951.000,0.000,0.000,53.000,0.000
107469.000,24237.000,6061.000,20472.000,3753.000,4590.000,2696.000,1948.000,0.000,0.000,33.000,0.000
1967965.000,345765.000,62130.000,99510.000,41667.000,17848.000,11879.000,3993.000,0.000,0.000,161.000,0.000
364639.000,302320.000,28301.000,64059.000,24120.000,20517.000,19277.000,5561.000,0.000,0.000,29.000,0.000
370703.000,127024.000,15597.000,4750.000,6337.000,8918.000,8446.000,1396.000,0.000,0.000,58.000,0.000
537126.000,37459.000,50155.000,14809.000,7111.000,23531.000,10605.000,10712.000,47.000,30.000,61.000,0.000
1537008.000,37866.000,69697.000,9948.000,42975.000,26466.000,11063.000,10197.000,69.000,47.000,150.000,0.000
1068329.000,195930.000,41891.000,84585.000,31595.000,48271.000,23996.000,12067.000,93.000,57.000,-90.000,0.000
203616.000,64771.000,9782.000,1440.000,5765.000,1471.000,604.000,713.000,100.000,64.000,21.000,0.000
1223328.000,141556.000,39543.000,39361.000,8548.000,11041.000,5811.000,5099.000,84.000,64.000,186.000,0.000
2290103.000,154173.000,2342.000,18129.000,98203.000,16816.000,44232.000,5329.000,57.000,57.000,104.000,0.000
298667.000,29278.000,6217.000,19637.000,12730.000,6015.000,1713.000,3701.000,47.000,29.000,65.000,0.000
458554.000,164188.000,86233.000,31986.000,14916.000,22139.000,13827.000,6064.000,41.000,30.000,24.000,0.000
199186.000,27159.000,9840.000,5994.000,5994.000,2422.000,1827.000,1416.000,64.000,48.000,57.000,0.000
352057.000,264172.000,62486.000,35040.000,36292.000,32461.000,22473.000,3308.000,67.000,48.000,100.000,0.000
233173.000,24181.000,2828.000,7571.000,5305.000,6609.000,4344.000,672.000,64.000,64.000,75.000,0.000
421516.000,123871.000,63579.000,42249.000,18699.000,19829.000,3736.000,2868.000,74.000,56.000,-24.000,0.000
109261.000,18753.000,59328.000,3775.000,4751.000,6036.000,2064.000,357.000,75.000,57.000,-273.000,0.000
915150.000,33226.000,25115.000,10333.000,9514.000,4282.000,1971.000,1530.000,80.000,75.000,205.000,0.000
902845.000,228106.000,20567.000,61540.000,8252.000,12593.000,9043.000,14403.000,74.000,87.000,240.000,0.000
176743.000,47561.000,5319.000,4050.000,14650.000,11316.000,2361.000,1145.000,48.000,87.000,77.000,0.000
99224.000,52567.000,7602.000,1537.000,5948.000,3248.000,2251.000,2163.000,64.000,66.000,44.000,0.000
693714.000,320284.000,24568.000,21432.000,29907.000,8413.000,5049.000,2959.000,57.000,35.000,58.000,0.000
1155152.000,89099.000,57452.000,63776.000,11675.000,23436.000,4743.000,6694.000,41.000,14.000,-140.000,0.000
900333.000,196289.000,13848.000,123723.000,21014.000,13348.000,8135.000,2466.000,60.000,26.000,11.000,0.000
883932.000,656164.000,35527.000,35401.000,15005.000,27774.000,13151.000,9872.000,30.000,43.000,-42.000,0.000
288027.000,131060.000,20373.000,85048.000,15834.000,14541.000,5155.000,3226.000,26.000,40.000,3.000,0.000
855639.000,53785.000,32729.000,41109.000,25397.000,24485.000,4232.000,4272.000,43.000,57.000,124.000,0.000
85112.000,25144.000,3531.000,20259.000,1280.000,2607.000,1513.000,291.000,50.000,56.000,-152.000,0.000
248061.000,102477.000,5848.000,18623.000,6647.000,4719.000,1084.000,1040.000,56.000,60.000,3.000,0.000
983311.000,27593.000,8743.000,24579.000,10365.000,3139.000,1325.000,1645.000,56.000,66.000,-76.000,0.000
1612761.000,59048.000,39526.000,58058.000,32293.000,14375.000,2981.000,2897.000,53.000,69.000,102.000,0.000
132413.000,80862.000,4442.000,8320.000,43247.000,31148.000,2247.000,2374.000,41.000,70.000,12.000,0.000
146483.000,70287.000,88776.000,63273.000,20040.000,17460.000,4326.000,2392.000,64.000,47.000,26.000,0.000
513803.000,109330.000,87507.000,14370.000,23451.000,12815.000,6957.000,6986.000,74.000,67.000,88.000,0.000
74567.000,33976.000,10980.000,5046.000,7475.000,2325.000,596.000,422.000,74.000,66.000,41.000,0.000
162559.000,58746.000,23330.000,38271.000,27607.000,10541.000,6872.000,3878.000,57.000,56.000,42.000,0.000
474768.000,68934.000,36127.000,38011.000,27511.000,18013.000,8361.000,3363.000,38.000,81.000,19.000,0.000
206629.000,28143.000,13526.000,24049.000,11385.000,1729.000,971.000,778.000,44.000,74.000,8.000,0.000
327133.000,90319.000,11244.000,70254.000,14009.000,20102.000,7405.000,1790.000,30.000,77.000,-102.000,0.000
341871.000,259743.000,47674.000,37967.000,42738.000,21499.000,5311.000,3296.000,43.000,81.000,-23.000,0.000
252936.000,90368.000,15513.000,16172.000,5554.000,7150.000,1292.000,452.000,38.000,69.000,93.000,0.000
232339.000,20306.000,12482.000,2585.000,2436.000,3070.000,1965.000,427.000,27.000,61.000,16.000,0.000
563594.000,212740.000,131361.000,75299.000,18564.000,34434.000,3689.000,2339.000,44.000,56.000,134.000,0.000
224202.000,166786.000,104181.000,121528.000,12099.000,17780.000,5213.000,1628.000,41.000,57.000,87.000,0.000
608485.000,80857.000,36334.000,32473.000,39549.000,26206.000,8516.000,3130.000,38.000,75.000,40.000,0.000
67410.000,19575.000,8346.000,54117.000,54207.000,12543.000,5322.000,7693.000,51.000,80.000,112.000,0.000
154301.000,35304.000,1988.000,32083.000,9317.000,8252.000,2211.000,657.000,60.000,81.000,22.000,0.000
154139.000,37950.000,19460.000,4672.000,13172.000,5004.000,1802.000,834.000,64.000,81.000,-97.000,0.000
138054.000,144577.000,3228.000,138393.000,20359.000,31365.000,6254.000,2708.000,70.000,70.000,5.000,0.000
401585.000,607725.000,96637.000,10040.000,98265.000,41909.000,9578.000,2199.000,66.000,77.000,232.000,0.000
217757.000,12084.000,3935.000,11585.000,4591.000,4088.000,1665.000,641.000,54.000,57.000,21.000,0.000
69400.000,76596.000,91478.000,73046.000,45200.000,12011.000,6051.000,1504.000,56.000,57.000,19.000,0.000
320810.000,179550.000,17900.000,135373.000,46534.000,26306.000,4101.000,7949.000,51.000,69.000,40.000,0.000
347330.000,27876.000,44198.000,88346.000,10952.000,8263.000,943.000,397.000,44.000,67.000,192.000,0.000
1218442.000,246108.000,92546.000,35881.000,50905.000,54873.000,15613.000,11386.000,43.000,97.000,-329.000,0.000
724661.000,99882.000,10596.000,18740.000,17742.000,13001.000,1844.000,987.000,43.000,88.000,35.000,0.000
219354.000,196730.000,27042.000,191268.000,37201.000,19397.000,7152.000,3274.000,53.000,67.000,19.000,0.000
396626.000,83366.000,61910.000,13940.000,32832.000,14628.000,7104.000,3114.000,47.000,69.000,99.000,0.000
