delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
253.000,8.000,12.000,4.000,7.000,6.000,3.000,5.000,0.000,0.000,28.000,0.000
18434.000,4092.000,4051.000,1502.000,950.000,1186.000,224.000,105.000,0.000,0.000,11.000,0.000
200792.000,211841.000,31530.000,53463.000,8806.000,7837.000,6791.000,3277.000,0.000,0.000,118.000,0.000
1093715.000,71643.000,21438.000,12457.000,25030.000,10252.000,18024.000,3394.000,0.000,0.000,-27.000,0.000
529142.000,373885.000,19816.000,12216.000,21466.000,14897.000,3912.000,3864.000,0.000,0.000,38.000,0.000
218091.000,109146.000,12852.000,15602.000,14262.000,9265.000,5639.000,2545.000,0.000,0.000,28.000,0.000
119537.000,47985.000,9569.000,2340.000,3621.000,4572.000,1596.000,532.000,0.000,0.000,52.000,0.000
237064.000,55689.000,12531.000,15196.000,37530.000,20181.000,3600.000,2122.000,44.000,44.000,26.000,0.000
845225.000,170949.000,78666.000,25860.000,26332.000,15642.000,8704.000,3420.000,67.000,54.000,68.000,0.000
400255.000,121362.000,43677.000,1976.000,29981.000,20581.000,4125.000,2754.000,67.000,74.000,-40.000,0.000
317535.000,53649.000,14919.000,18879.000,6562.000,6161.000,1209.000,628.000,81.000,83.000,247.000,0.000
751029.000,101101.000,3810.000,21601.000,11687.000,3741.000,2102.000,506.000,78.000,96.000,149.000,0.000
1192479.000,1244966.000,161301.000,139166.000,62312.000,54838.000,17015.000,7737.000,41.000,93.000,-293.000,0.000
1100776.000,11780.000,2577.000,3059.000,2658.000,1864.000,385.000,195.000,34.000,81.000,-30.000,0.000
137227.000,50799.000,9494.000,3244.000,5336.000,3969.000,2649.000,2779.000,30.000,87.000,-36.000,0.000
153980.000,3729.000,1717.000,810.000,931.000,1014.000,1267.000,378.000,27.000,74.000,-81.000,0.000
432913.000,45223.000,8202.000,10882.000,7810.000,8848.000,2605.000,1459.000,60.000,83.000,-1.000,0.000
233777.000,32204.000,5905.000,6440.000,3023.000,5059.000,3561.000,1089.000,83.000,88.000,-35.000,0.000
1065025.000,30427.000,19827.000,19647.000,7723.000,5695.000,2096.000,1812.000,84.000,87.000,8.000,0.000
110856.000,13796.000,3469.000,2723.000,3739.000,1264.000,1118.000,422.000,90.000,100.000,91.000,0.000
586735.000,19133.000,28600.000,3402.000,5985.000,6723.000,5173.000,2985.000,74.000,96.000,106.000,0.000
195670.000,24140.000,3151.000,4857.000,1972.000,3124.000,1009.000,570.000,74.000,100.000,-377.000,0.000
1093147.000,117855.000,26592.000,34182.000,12668.000,4192.000,2198.000,1092.000,69.000,100.000,40.000,0.000
427720.000,64136.000,45848.000,28899.000,41167.000,14360.000,15924.000,6919.000,48.000,91.000,-44.000,0.000
320833.000,229858.000,42573.000,85770.000,22105.000,30272.000,7521.000,3495.000,57.000,100.000,55.000,0.000
1488878.000,146927.000,17001.000,29465.000,17638.000,23703.000,6442.000,2469.000,50.000,91.000,-17.000,0.000
1596781.000,305423.000,19970.000,45266.000,20855.000,19833.000,8154.000,3039.000,54.000,90.000,71.000,0.000
633369.000,84303.000,7054.000,38618.000,21658.000,20044.000,10486.000,5086.000,67.000,80.000,-236.000,0.000
697102.000,43579.000,16613.000,15127.000,9423.000,9494.000,1100.000,1408.000,74.000,70.000,38.000,0.000
252567.000,227201.000,13142.000,14948.000,13455.000,9505.000,2148.000,1585.000,80.000,74.000,115.000,0.000
480784.000,88069.000,33896.000,37466.000,20393.000,36464.000,6267.000,3766.000,57.000,61.000,-106.000,0.000
