delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
69.000,11.000,3.000,11.000,4.000,5.000,4.000,5.000,0.000,0.000,32.000,0.000
431374.000,3261.000,3875.000,4791.000,2387.000,287.000,105.000,64.000,0.000,0.000,25.000,0.000
1177731.000,25609.000,23829.000,36089.000,10043.000,9955.000,2756.000,4598.000,0.000,0.000,-17.000,0.000
560747.000,39927.000,8102.000,15423.000,8204.000,5699.000,2592.000,833.000,0.000,0.000,-37.000,0.000
356748.000,106367.000,13459.000,57870.000,40588.000,36023.000,12336.000,5465.000,0.000,0.000,-313.000,0.000
1018867.000,81049.000,32270.000,8983.000,17268.000,13129.000,5815.000,1914.000,0.000,0.000,56.000,0.000
849627.000,130105.000,93188.000,85622.000,60780.000,26552.000,16720.000,2964.000,0.000,0.000,117.000,0.000
413001.000,52808.000,7612.000,17692.000,25630.000,6699.000,3543.000,1299.000,30.000,51.000,-193.000,0.000
1314969.000,39039.000,7160.000,14699.000,8649.000,3430.000,2103.000,1031.000,24.000,37.000,1147.000,0.000
298402.000,12915.000,9511.000,2641.000,5458.000,2533.000,1133.000,541.000,10.000,30.000,156.000,0.000
1079845.000,295568.000,57055.000,38897.000,15643.000,6626.000,2572.000,1091.000,10.000,30.000,59.000,0.000
1033534.000,3584.000,648.000,197.000,1649.000,1062.000,313.000,259.000,1.000,14.000,-43.000,0.000
133376.000,24225.000,9994.000,7932.000,4146.000,4885.000,1873.000,949.000,1.000,14.000,-113.000,0.000
1030349.000,276474.000,56838.000,82804.000,59609.000,36258.000,9832.000,12154.000,7.000,1.000,39.000,0.000
1570107.000,20123.000,43991.000,27947.000,15936.000,44576.000,10673.000,3476.000,17.000,10.000,100.000,0.000
180158.000,99432.000,81636.000,13593.000,120929.000,26143.000,5719.000,4630.000,56.000,34.000,106.000,0.000
251260.000,142340.000,14860.000,30151.000,58458.000,58043.000,11391.000,5564.000,83.000,38.000,122.000,0.000
388771.000,172477.000,102749.000,15452.000,47225.000,30639.000,12622.000,3170.000,93.000,20.000,23.000,0.000
816529.000,387954.000,100236.000,49710.000,69221.000,30781.000,19398.000,2851.000,93.000,30.000,53.000,0.000
184750.000,53899.000,34711.000,5411.000,13931.000,6012.000,2490.000,436.000,66.000,11.000,73.000,0.000
274061.000,104660.000,59845.000,40680.000,18563.000,32488.000,10237.000,6747.000,56.000,27.000,-286.000,0.000
155005.000,24730.000,10841.000,1896.000,4301.000,2268.000,1054.000,269.000,48.000,57.000,-50.000,0.000
1109782.000,143266.000,3425.000,21478.000,31008.000,13824.000,2843.000,3688.000,40.000,54.000,8.000,0.000
574390.000,110970.000,1389.000,32529.000,34850.000,3192.000,4710.000,1468.000,44.000,40.000,153.000,0.000
424580.000,151879.000,62392.000,26436.000,36523.000,25187.000,4177.000,539.000,30.000,24.000,32.000,0.000
190037.000,39565.000,22237.000,29593.000,5486.000,21344.000,6333.000,1388.000,26.000,16.000,-61.000,0.000
279036.000,93837.000,43493.000,13559.000,18404.000,18045.000,4236.000,813.000,43.000,29.000,-1.000,0.000
87807.000,190649.000,98136.000,61565.000,15266.000,23505.000,30116.000,5490.000,48.000,53.000,0.000,0.000
2236825.000,338896.000,9377.000,96329.000,111649.000,11753.000,7686.000,2876.000,63.000,74.000,80.000,0.000
271675.000,15643.000,65107.000,14839.000,42535.000,20925.000,5270.000,2033.000,44.000,61.000,104.000,0.000
82863.000,37946.000,23722.000,7547.000,6232.000,5118.000,3976.000,1271.000,44.000,67.000,-291.000,0.000
41784.000,22797.000,12156.000,1093.000,5366.000,1470.000,1142.000,310.000,38.000,77.000,166.000,0.000
784479.000,138121.000,158627.000,78214.000,12761.000,49063.000,16580.000,2678.000,30.000,67.000,52.000,0.000
314282.000,241847.000,98702.000,66993.000,17902.000,26906.000,8899.000,2923.000,51.000,100.000,11.000,0.000
1083857.000,415473.000,102199.000,57208.000,44120.000,32183.000,11566.000,2019.000,37.000,90.000,18.000,0.000
73899.000,16379.000,3568.000,18905.000,6320.000,4274.000,3417.000,931.000,35.000,75.000,3.000,0.000
607115.000,365993.000,109116.000,66399.000,50564.000,41732.000,6521.000,2443.000,47.000,87.000,-88.000,0.000
296809.000,120947.000,60896.000,14275.000,4449.000,3993.000,2062.000,666.000,40.000,66.000,-51.000,0.000
2457469.000,142441.000,34622.000,129774.000,34141.000,21488.000,11745.000,3827.000,26.000,66.000,144.000,0.000
309550.000,84596.000,28517.000,63359.000,16530.000,31045.000,27816.000,5239.000,27.000,87.000,0.000,0.000
1629478.000,123342.000,15859.000,79846.000,27477.000,11855.000,9087.000,8262.000,35.000,83.000,117.000,0.000
1008723.000,690618.000,60713.000,73977.000,36876.000,52084.000,13386.000,3958.000,30.000,91.000,-6.000,0.000
2079882.000,270974.000,193466.000,121955.000,39752.000,28321.000,5441.000,3395.000,44.000,69.000,20.000,0.000
242965.000,51358.000,65233.000,182332.000,34993.000,13329.000,8223.000,3608.000,40.000,70.000,9.000,0.000
1984588.000,312682.000,55395.000,53243.000,34387.000,16483.000,8890.000,3854.000,21.000,81.000,25.000,0.000
261891.000,84179.000,58885.000,49852.000,67372.000,43396.000,7460.000,4118.000,17.000,63.000,35.000,0.000
1498886.000,94413.000,41222.000,42297.000,16071.000,15213.000,9436.000,4232.000,35.000,77.000,-20.000,0.000
291931.000,51586.000,29683.000,12033.000,26825.000,7050.000,1874.000,1022.000,43.000,61.000,-293.000,0.000
2272308.000,695449.000,110979.000,140387.000,71496.000,28831.000,25603.000,13994.000,50.000,38.000,81.000,0.000
435381.000,251098.000,25279.000,94974.000,11866.000,23227.000,10942.000,5953.000,44.000,38.000,-75.000,0.000
2063311.000,599996.000,104176.000,10636.000,92905.000,27473.000,9697.000,4035.000,27.000,34.000,-105.000,0.000
1135769.000,71060.000,4282.000,16347.000,16829.000,10249.000,4611.000,1128.000,17.000,14.000,429.000,0.000
267534.000,216205.000,6517.000,19769.000,10949.000,10490.000,2749.000,1091.000,24.000,4.000,65.000,0.000
2500347.000,99783.000,13939.000,33834.000,31462.000,33818.000,10157.000,3740.000,27.000,1.000,42.000,0.000
1356218.000,42571.000,13777.000,19763.000,31361.000,5788.000,1515.000,874.000,44.000,1.000,85.000,0.000
40743.000,53589.000,6640.000,16461.000,4965.000,6272.000,2039.000,1286.000,51.000,4.000,64.000,0.000
501679.000,192529.000,93613.000,48820.000,51193.000,40489.000,21863.000,3938.000,48.000,13.000,70.000,0.000
1033647.000,66551.000,12806.000,44957.000,19734.000,16586.000,12023.000,5493.000,60.000,35.000,17.000,0.000
1421118.000,306404.000,51872.000,119929.000,33709.000,11384.000,10973.000,1691.000,53.000,44.000,-141.000,0.000
542952.000,187820.000,125743.000,71695.000,43094.000,24081.000,7185.000,8761.000,40.000,47.000,88.000,0.000
1087275.000,94664.000,47702.000,148172.000,37930.000,13607.000,6609.000,5931.000,37.000,56.000,50.000,0.000
634196.000,170486.000,135793.000,38506.000,33735.000,27702.000,21521.000,3383.000,24.000,69.000,292.000,0.000
148473.000,35714.000,19435.000,12011.000,9149.000,11275.000,2726.000,599.000,17.000,70.000,-103.000,0.000
373324.000,101360.000,49236.000,42726.000,26941.000,23614.000,4156.000,3612.000,43.000,74.000,83.000,0.000
384221.000,41400.000,65525.000,12416.000,16774.000,14491.000,6541.000,3225.000,51.000,69.000,67.000,0.000
526717.000,262465.000,95282.000,21822.000,52066.000,16985.000,6158.000,3543.000,63.000,67.000,11.000,0.000
1476164.000,39918.000,28286.000,58084.000,8930.000,82522.000,7618.000,2522.000,56.000,57.000,101.000,0.000
51872.000,24200.000,10907.000,2187.000,5864.000,1709.000,320.000,530.000,69.000,57.000,51.000,0.000
391325.000,250029.000,115833.000,34543.000,16627.000,26903.000,15048.000,4012.000,56.000,53.000,-213.000,0.000
2719334.000,138303.000,111788.000,11004.000,43349.000,19759.000,8589.000,2930.000,47.000,43.000,-20.000,0.000
251309.000,47092.000,20376.000,42751.000,27297.000,8236.000,2097.000,771.000,51.000,50.000,219.000,0.000
1508548.000,104691.000,59615.000,40398.000,50548.000,28276.000,27016.000,9617.000,26.000,53.000,59.000,0.000
639341.000,80330.000,22597.000,34211.000,9704.000,9310.000,5971.000,1285.000,40.000,57.000,34.000,0.000
417893.000,63255.000,60211.000,54983.000,107097.000,44973.000,5873.000,3751.000,40.000,57.000,-5.000,0.000
674523.000,94687.000,23575.000,15538.000,14955.000,10978.000,1891.000,1170.000,53.000,56.000,100.000,0.000
1500139.000,131672.000,16992.000,22985.000,30595.000,34047.000,14712.000,6123.000,53.000,47.000,135.000,0.000
332695.000,116428.000,30547.000,28186.000,27980.000,31220.000,4203.000,1603.000,57.000,34.000,-18.000,0.000
1981645.000,120649.000,17456.000,7274.000,73273.000,20063.000,38690.000,5304.000,69.000,27.000,-42.000,0.000
2169120.000,151750.000,83570.000,74909.000,29249.000,17465.000,10248.000,2890.000,63.000,7.000,4.000,0.000
530468.000,169378.000,89346.000,110384.000,96013.000,41353.000,5612.000,3007.000,60.000,17.000,375.000,0.000
293996.000,25514.000,5138.000,14399.000,7746.000,6380.000,1307.000,1433.000,53.000,34.000,84.000,0.000
148333.000,38945.000,24580.000,42052.000,16810.000,17179.000,1806.000,1021.000,50.000,38.000,-59.000,0.000
1315036.000,169325.000,87738.000,65901.000,43704.000,36308.000,11315.000,4164.000,53.000,66.000,-19.000,0.000
506130.000,58629.000,5141.000,72995.000,28594.000,39051.000,9066.000,2092.000,60.000,63.000,18.000,0.000
2227873.000,73432.000,29668.000,14344.000,36980.000,26164.000,6962.000,10600.000,69.000,63.000,-238.000,0.000
1329025.000,290880.000,38733.000,46747.000,36300.000,14161.000,5360.000,3913.000,75.000,54.000,-34.000,0.000
577791.000,19687.000,51701.000,13177.000,10599.000,4861.000,1709.000,2320.000,56.000,37.000,131.000,0.000
1593739.000,116154.000,92586.000,13990.000,71760.000,56429.000,6038.000,1811.000,48.000,51.000,3.000,0.000
139384.000,37450.000,14063.000,33649.000,19068.000,6134.000,1700.000,712.000,48.000,48.000,132.000,0.000
58973.000,151617.000,33003.000,14656.000,20121.000,21735.000,5622.000,4967.000,35.000,60.000,75.000,0.000
518450.000,175364.000,21793.000,81203.000,34858.000,19441.000,24303.000,4946.000,47.000,60.000,-20.000,0.000
214839.000,118041.000,44521.000,44275.000,32236.000,39251.000,18289.000,3565.000,48.000,40.000,-50.000,0.000
3368511.000,609484.000,116095.000,22782.000,51421.000,39950.000,8630.000,3305.000,47.000,40.000,-87.000,0.000
45305.000,23101.000,970.000,1649.000,5582.000,3349.000,2447.000,394.000,43.000,24.000,34.000,0.000
681628.000,51218.000,11194.000,16228.000,31322.000,21416.000,18362.000,7550.000,44.000,13.000,-244.000,0.000
1399145.000,182953.000,61521.000,56003.000,93041.000,42225.000,6635.000,3915.000,61.000,10.000,129.000,0.000
744857.000,585199.000,80728.000,18687.000,40113.000,26328.000,13778.000,7150.000,57.000,8.000,155.000,0.000
36160.000,8177.000,349.000,2678.000,4015.000,2224.000,1546.000,136.000,53.000,8.000,134.000,0.000
