delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
6668.000,1058.000,111.000,204.000,178.000,197.000,31.000,57.000,0.000,0.000,48.000,0.000
183766.000,20367.000,6457.000,6161.000,4830.000,2526.000,863.000,293.000,0.000,0.000,75.000,0.000
15467.000,58221.000,10312.000,11700.000,4022.000,3095.000,1222.000,808.000,0.000,0.000,85.000,0.000
351069.000,138491.000,51807.000,50580.000,14212.000,15850.000,9450.000,2639.000,0.000,0.000,92.000,0.000
64070.000,2701.000,1694.000,5043.000,404.000,2432.000,696.000,222.000,0.000,0.000,-35.000,0.000
739519.000,248940.000,8355.000,10710.000,9111.000,3264.000,2515.000,779.000,53.000,51.000,-1.000,0.000
344554.000,11605.000,3781.000,5723.000,14627.000,4179.000,1455.000,1937.000,35.000,34.000,90.000,0.000
254015.000,62446.000,46897.000,66760.000,29187.000,12921.000,14366.000,11655.000,47.000,34.000,-373.000,0.000
911555.000,291285.000,28531.000,31867.000,33364.000,26730.000,5439.000,2946.000,48.000,47.000,67.000,0.000
1081388.000,27089.000,10682.000,3236.000,7014.000,3033.000,656.000,685.000,37.000,26.000,-12.000,0.000
716573.000,32184.000,8633.000,21658.000,10431.000,13841.000,5518.000,2753.000,54.000,44.000,356.000,0.000
321331.000,47027.000,23818.000,22976.000,8339.000,6527.000,2968.000,1388.000,54.000,44.000,23.000,0.000
192738.000,68249.000,56528.000,28595.000,8911.000,23237.000,6996.000,6221.000,54.000,44.000,-18.000,0.000
250792.000,48779.000,23359.000,14440.000,15682.000,13840.000,3336.000,1623.000,51.000,56.000,169.000,0.000
1056048.000,120446.000,13475.000,17143.000,5523.000,10876.000,5489.000,1463.000,60.000,47.000,404.000,0.000
140792.000,33603.000,1420.000,1267.000,3512.000,3484.000,1975.000,585.000,57.000,50.000,85.000,0.000
112553.000,174181.000,23997.000,21470.000,11709.000,11474.000,1739.000,1676.000,61.000,29.000,147.000,0.000
